;1;2;3;4;5;6;7;8;9;10;Rm-Rf
30.04.1943;0.0004;0.0198;0.0006;-0.0062;0.0006;0.0157;0.0487;0.0526;0.0906;0.1307;0.0081
31.05.1943;0.0426;0.0512;0.0378;0.0668;0.0668;0.0652;0.0947;0.0927;0.0888;0.183;0.0574
30.06.1943;0.0222;0.0115;0.015;0.0128;0.0215;0.0192;0.0191;0.0207;0.0004;-0.0203;0.0182
30.07.1943;-0.0245;-0.0281;-0.0388;-0.0492;-0.0573;-0.0688;-0.0802;-0.083;-0.0936;-0.112;-0.0477
31.08.1943;0.0112;0.0091;0.0032;0.0138;-0.0045;0.0051;0.0178;0.0187;0.0063;-0.0491;0.0130
30.09.1943;0.0287;0.0228;0.0232;0.0345;0.0306;0.0319;0.0363;0.0489;0.0378;0.0639;0.0240
29.10.1943;-0.0035;0.0012;0.0015;-0.0149;0.0052;0.0023;-0.0096;0.0089;-0.0108;-0.0147;-0.0115
30.11.1943;-0.0415;-0.0546;-0.055;-0.0679;-0.0635;-0.0843;-0.0978;-0.0928;-0.1435;-0.1711;-0.0591
31.12.1943;0.0458;0.0581;0.0697;0.0822;0.0901;0.0915;0.1157;0.1123;0.1506;0.1655;0.0636
31.01.1944;0.0233;0.0197;0.027;0.0277;0.0407;0.0381;0.0464;0.0515;0.0783;0.0987;0.0174
29.02.1944;0.0103;0.0093;0.0029;0.0124;0.0035;0.0116;0.01;0.0189;0.0415;0.011;0.0037
31.03.1944;0.0165;0.0208;0.0238;0.0254;0.0426;0.0325;0.048;0.0747;0.0646;0.0767;0.0246
28.04.1944;-0.0143;-0.014;-0.0262;-0.0185;-0.028;-0.0293;-0.0217;-0.0358;-0.0428;-0.0548;-0.0169
31.05.1944;0.0383;0.0441;0.0538;0.0659;0.0706;0.067;0.0761;0.0756;0.097;0.0644;0.0507
30.06.1944;0.0444;0.0554;0.0736;0.0706;0.0805;0.1102;0.0848;0.1231;0.1534;0.2511;0.0549
31.07.1944;0.005;0.007;-0.0106;-0.0028;-0.0229;-0.0129;-0.0186;-0.029;-0.0135;-0.0352;-0.0149
31.08.1944;0.0093;0.0206;0.0226;0.0154;0.0266;0.0305;0.0391;0.0219;0.0347;0.081;0.0157
29.09.1944;0.001;0.0021;0.0023;0.0023;0.0061;0.0092;0.0026;0.0028;-0.0061;-0.0262;0.0001
31.10.1944;0.0156;0.007;0.0073;0.0064;0.0055;0.0023;-0.0075;0.0035;-0.0229;-0.0142;0.0016
30.11.1944;0.0216;0.0085;0.0203;0.0257;0.0204;0.0271;0.0289;0.0315;0.0353;0.0151;0.0171
29.12.1944;0.0288;0.0397;0.0545;0.0431;0.0579;0.0791;0.0741;0.091;0.1199;0.1107;0.0403
31.01.1945;0.0252;0.0335;0.0252;0.0338;0.0351;0.0246;0.0474;0.0484;0.058;0.1113;0.0201
28.02.1945;0.0452;0.0602;0.0698;0.0838;0.0869;0.0893;0.0939;0.0999;0.1125;0.1056;0.0623
30.03.1945;-0.0259;-0.031;-0.0372;-0.0348;-0.05;-0.0561;-0.0633;-0.0746;-0.0945;-0.1061;-0.0389
30.04.1945;0.0593;0.0679;0.0788;0.0703;0.0853;0.0873;0.0981;0.1065;0.1102;0.1263;0.0780
31.05.1945;0.0245;0.0166;0.0172;0.0235;0.0188;0.0116;0.0204;0.0358;0.0551;0.0693;0.0173
29.06.1945;-0.0094;0.0025;-0.0006;-0.001;0.0105;0.0136;0.0386;0.0443;0.1026;0.1409;0.0039
31.07.1945;-0.0127;-0.01;-0.0225;-0.0298;-0.0379;-0.031;-0.0488;-0.0667;-0.0408;-0.0365;-0.0217
31.08.1945;0.0403;0.0752;0.0705;0.0807;0.0858;0.0812;0.089;0.0696;0.0655;0.0164;0.0620
28.09.1945;0.0469;0.0487;0.0633;0.0586;0.0737;0.0743;0.0737;0.0735;0.0528;0.07;0.0477
31.10.1945;0.0568;0.0545;0.0563;0.0448;0.0552;0.0562;0.0719;0.0686;0.0636;0.1223;0.0389
30.11.1945;0.0346;0.055;0.055;0.0912;0.0967;0.0924;0.1274;0.1191;0.1195;0.1481;0.0539
31.12.1945;0.0069;0.0268;0.0168;0.0193;0.014;0.0265;0.0254;0.0384;0.0179;0.0305;0.0120
31.01.1946;0.0644;0.0589;0.0548;0.0788;0.0849;0.0704;0.1072;0.1078;0.1224;0.2073;0.0624
28.02.1946;-0.0414;-0.0442;-0.0588;-0.064;-0.0713;-0.0712;-0.0575;-0.0812;-0.0876;-0.0951;-0.0583
29.03.1946;0.0641;0.0644;0.0602;0.084;0.0727;0.0754;0.0411;0.0765;0.0316;0.0066;0.0587
30.04.1946;0.0377;0.0598;0.0644;0.0496;0.0585;0.0572;0.0513;0.0457;0.0538;0.0547;0.0423
31.05.1946;0.025;0.0572;0.0403;0.0674;0.0621;0.0627;0.0573;0.0549;0.0565;0.0587;0.0393
28.06.1946;-0.0199;-0.0408;-0.0495;-0.0571;-0.0542;-0.0465;-0.0688;-0.0446;-0.0645;-0.0508;-0.0389
31.07.1946;-0.017;-0.0326;-0.027;-0.0435;-0.0266;-0.0461;-0.0497;-0.0477;-0.0519;-0.066;-0.0269
